,android.sensor.accelerometer#mean,android.sensor.accelerometer#min,android.sensor.accelerometer#max,android.sensor.accelerometer#std,android.sensor.gyroscope#mean,android.sensor.gyroscope#min,android.sensor.gyroscope#max,android.sensor.gyroscope#std,sound#mean,sound#min,sound#max,sound#std
0,9.81147629156,9.75889547269,9.84941095639,0.0146255073331,0.00165077522136,0.0,0.00353308255853,0.000736963641413,,,,
1,9.93920678262,7.70743742161,17.1466311902,1.7759442967,0.0363257142488,0.0116693879272,0.0593878960242,0.0202897002181,89.200210191,89.06514335,89.3352770319,0.191013358299
2,9.82717783631,9.80481712742,9.84926211274,0.0111991059917,0.00152461653211,0.0,0.0026093544661,0.000712700740663,,,,
3,9.67303911332,7.65967372861,12.3042975935,0.862553258429,0.0364403150565,0.0204630617713,0.0525122451551,0.0105527726211,87.4703770994,87.4703770994,87.4703770994,2.28418636125
7,9.90601147575,6.43164569701,14.2026033269,1.04468410393,0.140902237072,0.00656673118978,0.690413822407,0.119666966016,,,,
18,10.0984940554,4.1843047427,20.9653686653,4.4969256031,1.93665054071,0.678904506293,3.54987340019,1.21351757798,,,,
22,9.84097963672,9.81448161504,9.8670582747,0.0130505485857,0.00166860775669,0.0010652645,0.0031957935,0.000685683820603,,,,
23,9.82124169087,9.76550354352,9.8803492743,0.0237152943931,0.00169005949704,0.0010652645,0.0031957935,0.000791428553827,,,,
44,9.73595527536,8.65305077504,10.8234202937,0.340393818273,0.0127756430457,0.0,0.103604838906,0.01079960215,,,,
55,9.8144774703,9.78004932846,9.85285248925,0.0161842987475,0.00162508155625,0.0,0.0031957935,0.000731446448252,,,,
75,10.0085220256,8.900964578,10.6883330626,0.214622287251,0.182937067869,0.00878439588716,1.03067020509,0.227895858308,,,,
79,9.88938517153,9.20092838376,10.9225311152,0.223594599016,0.151543752347,0.0031957935,0.900323054416,0.16653117291,,,,
80,9.74502002112,8.70628855084,10.9299029652,0.558991828563,0.0349039319655,0.00464338016599,0.0577703427267,0.017673314163,79.9021691549,79.9021691549,79.9021691549,4.2995880608
86,9.8290048273,9.81173260226,9.84666938661,0.0108238495778,0.00173757822649,0.0010652645,0.00301302300683,0.000572298560376,44.296876961,44.296876961,44.296876961,0.495717309745
97,9.79709972873,8.52632017545,11.7348333236,0.76944447964,0.0508226011532,0.0101059858856,0.105847837774,0.025190251052,82.0760744191,82.0760744191,82.0760744191,3.89524019975
98,9.8750105865,9.73551465467,10.2386615334,0.145647550392,0.0104156957693,0.00238200383602,0.0230943827039,0.00575891210344,66.8721101621,66.8721101621,66.8721101621,4.1029974089
99,9.64529589513,8.72173127456,10.3488758943,0.365005284026,0.0346100965857,0.0273878642158,0.0386442957491,0.00626892969418,81.5850724486,81.5850724486,81.5850724486,8.75983027261
114,9.81499145376,9.77182227988,9.85337411472,0.0148890533417,0.00182674166096,0.0,0.00451953451024,0.000800909678481,,,,
117,9.85004738431,9.82546646244,9.90131915819,0.0153565907876,0.00244334904686,0.0010652645,0.00353308255853,0.000796477165975,,,,
125,9.78721641845,9.48204529259,10.0750060719,0.156772592625,0.0148065133715,0.0026093544661,0.0300736817083,0.0069850760567,,,,
127,9.82471627345,9.79422629152,9.84662572558,0.0134478459204,0.00178250739906,0.0,0.00353308255853,0.000673790747458,43.1672498419,43.1672498419,43.1672498419,2.32594980367
128,10.051328341,7.93713446812,13.3203873973,1.27251724328,0.0350711266061,0.0227976543106,0.061555326796,0.0183114631366,82.2382112033,82.0596446104,82.4357913772,0.18879283551
133,9.97683219053,8.53991151289,11.4633036763,0.323938260209,0.142567892915,0.00714601135898,0.436244986964,0.101316419751,,,,
135,9.8292938178,9.46732894162,10.145013396,0.171652227733,0.00978229886216,0.00398585470511,0.0176654116771,0.00478067959579,,,,
