iter	RMSE
0	973.2575145
1	930.0035227
2	905.1197616
3	892.0451632
4	885.1491618
5	881.0265329
6	877.2527797
7	873.5750897
8	870.6363784
9	868.8938988
10	866.7165328
11	865.3471763
12	863.8183059
13	861.6546352
14	860.1657826
15	859.18959
16	857.8075725
17	856.7603175
18	855.4996538
19	854.3668041
20	852.5288221
21	851.3725852
22	850.4886895
23	849.5805771
24	848.078444
25	847.1479866
26	846.4062435
27	845.4528015
28	844.8793669
29	843.6043103
30	842.2290659
31	841.8868242
32	840.5287819
33	839.5939293
34	838.6671803
35	837.5891385
36	836.8722215
37	835.9749152
38	835.1059324
39	834.4808087
40	833.6838244
41	832.167582
42	831.7489623
43	831.2563381
44	830.1815088
45	829.311774
46	828.9247677
47	827.8721578
48	827.4089589
49	826.4785178
50	825.8999316
51	825.1508777
52	824.7767381
53	824.2501314
54	822.7419473
55	822.0635818
56	821.3022217
57	820.8184154
58	819.8312652
59	819.0425533
60	817.8476539
61	817.4869978
62	816.5449489
63	815.9681661
64	815.4246846
65	814.6096522
66	813.836662
67	813.0707291
68	812.4587224
69	812.1101855
70	811.1832202
71	810.3718372
72	809.6818843
73	809.0937538
74	808.5984399
75	808.1018644
76	807.5594743
77	806.803632
78	806.0660833
79	805.2579274
80	804.4916236
81	803.9127435
82	803.6058526
83	803.1709201
84	802.9169261
85	802.4642633
86	801.7947207
87	801.1976765
88	800.6400325
89	800.2605113
90	799.8234882
91	798.9949853
92	798.5049299
93	797.9805622
94	797.3221208
95	796.8498676
96	796.0679785
97	795.5810709
98	795.1131245
99	794.7676659
