iter	Passed	Remaining
0	157	15636
1	161	7933
2	166	5399
3	171	4126
4	176	3354
5	181	2840
6	187	2485
7	191	2205
8	196	1983
9	204	1836
10	208	1687
11	214	1575
12	219	1470
13	224	1379
14	229	1302
15	235	1234
16	239	1171
17	245	1117
18	252	1075
19	259	1036
20	265	997
21	271	961
22	275	922
23	280	889
24	287	862
25	295	840
26	303	819
27	308	792
28	313	767
29	321	749
30	327	728
31	332	706
32	339	689
33	345	670
34	352	654
35	358	636
36	363	619
37	369	603
38	375	587
39	382	573
40	388	558
41	394	544
42	400	531
43	406	517
44	413	505
45	420	493
46	425	480
47	433	469
48	439	456
49	446	446
50	454	436
51	461	426
52	469	416
53	475	404
54	482	394
55	488	384
56	496	374
57	503	364
58	509	353
59	515	343
60	521	333
61	530	325
62	537	315
63	544	306
64	550	296
65	557	287
66	564	277
67	571	268
68	578	259
69	584	250
70	592	241
71	598	232
72	605	224
73	612	215
74	619	206
75	626	197
76	632	188
77	639	180
78	644	171
79	652	163
80	659	154
81	665	146
82	671	137
83	678	129
84	686	121
85	693	112
86	701	104
87	707	96
88	713	88
89	719	79
90	725	71
91	732	63
92	738	55
93	745	47
94	752	39
95	758	31
96	767	23
97	773	15
98	781	7
99	787	0
